2026-09-25T22:58:07Z INFO Logging to /tmp/logs/update_2026-09-25T22-58-07Z.log.
2026-09-25T22:58:07Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-25T22:58:07Z INFO Processing 364 items (57656 already recorded).
2026-09-25T23:16:29Z INFO [145/364] 16ac5aed-3eaf-4f31-a677-cb2dead7a5ab: 7414 chunks; 12.6 s; peak memory 553 MiB.
2026-09-25T23:16:30Z INFO [146/364] 16ac8a9e-2c5f-429e-a240-0cc3d44a2fd9: 149 chunks; 1.3 s; peak memory 553 MiB.
2026-09-25T23:16:32Z INFO [147/364] 16ace11e-2e77-43bc-9121-b0bde92a6132: 421 chunks; 1.8 s; peak memory 553 MiB.
2026-09-25T23:16:33Z INFO [148/364] 16ad69d2-a6cd-4c9d-a4fa-9a41d23f8ddf: 115 chunks; 1.6 s; peak memory 553 MiB.
2026-09-25T23:16:34Z INFO [149/364] 16ad8799-b9d0-45cc-a15b-0ab72906bc0e: 48 chunks; 0.6 s; peak memory 553 MiB.
2026-09-25T23:18:16Z INFO [150/364] 16ae7b7e-e21e-43d8-9593-1806b7973adc: 42690 chunks; 101.9 s; peak memory 553 MiB.
2026-09-25T23:18:16Z INFO [150/364] 16ae7b7e-e21e-43d8-9593-1806b7973adc: checkpointed 57806 records.
2026-09-25T23:18:17Z INFO [151/364] 16aee368-1e2c-4b32-9d7f-c6e90e84c689: 64 chunks; 0.8 s; peak memory 553 MiB.
2026-09-25T23:18:17Z INFO [152/364] 16aeeec1-0b58-4e2c-baf0-aab90648c092: 35 chunks; 0.5 s; peak memory 553 MiB.
2026-09-25T23:18:18Z INFO [153/364] 16afcbc6-817b-4b0b-9ea7-6cba914a368d: 48 chunks; 0.8 s; peak memory 553 MiB.
2026-09-25T23:18:19Z INFO [154/364] 16b01afa-4b27-4410-b2ac-224fe96075fe: 48 chunks; 0.7 s; peak memory 553 MiB.
2026-09-25T23:18:20Z INFO [155/364] 16b0f0eb-5824-43bc-95b3-b838b8d993b7: 62 chunks; 0.9 s; peak memory 553 MiB.
2026-09-25T23:18:20Z INFO [156/364] 16b11de9-aba7-4610-993f-fd129ba40953: 64 chunks; 0.5 s; peak memory 553 MiB.
2026-09-25T23:18:23Z INFO [157/364] 16b2453a-4b9b-46bb-b827-62f01674c02a: 6870 chunks; 2.7 s; peak memory 553 MiB.
2026-09-25T23:18:26Z INFO [158/364] 16b34087-bbe7-4b09-b4fb-3c5e8e24ffca: 616 chunks; 3.5 s; peak memory 553 MiB.
2026-09-25T23:18:27Z INFO [159/364] 16b421c3-ce42-49c1-94df-31ba55c638a0: 71 chunks; 1.1 s; peak memory 553 MiB.
2026-09-25T23:18:33Z INFO [160/364] 16b46d12-9f77-41b3-bf0d-cf2343734ee8: 10942 chunks; 5.9 s; peak memory 553 MiB.
2026-09-25T23:18:34Z INFO [161/364] 16b50cab-d6dd-456f-9814-56b2b2b7ea02: 54 chunks; 0.4 s; peak memory 553 MiB.
2026-09-25T23:18:35Z INFO [162/364] 16b73a32-5783-4b03-af4e-a1c1e8f33380: 117 chunks; 0.8 s; peak memory 553 MiB.
2026-09-25T23:18:35Z INFO [163/364] 16b7c3d1-33ec-4b8c-93a6-86bc9742604f: 48 chunks; 0.8 s; peak memory 553 MiB.
2026-09-25T23:18:36Z INFO [164/364] 16b7f424-6f21-49f0-88eb-9c4766c30491: 66 chunks; 1.1 s; peak memory 553 MiB.
2026-09-25T23:18:37Z INFO [165/364] 16b82375-68a1-4484-8101-9943a777cc44: 46 chunks; 0.5 s; peak memory 553 MiB.
2026-09-25T23:18:38Z INFO [166/364] 16b90e8e-b40a-4dfc-9dd4-e710316a1c54: 71 chunks; 1.2 s; peak memory 553 MiB.
2026-09-25T23:18:39Z INFO [167/364] 16ba30e0-eefa-4892-a2b0-2e1dd931840a: 56 chunks; 0.4 s; peak memory 553 MiB.
2026-09-25T23:18:39Z INFO [168/364] 16ba9593-2858-4afe-aa5c-8999a7f0e206: 52 chunks; 0.7 s; peak memory 553 MiB.
2026-09-25T23:18:40Z INFO [169/364] 16bae64b-028a-4422-a834-b3f4b90ebcf8: 56 chunks; 0.3 s; peak memory 553 MiB.
2026-09-25T23:18:40Z INFO [170/364] 16bbe59f-4ad9-4500-99c6-a3066457d354: 92 chunks; 0.5 s; peak memory 553 MiB.
